SlNo,CustomerName,Region,TINR,ENGR,IU,HasComplaints
197,INNOTECH A/C APTRANSCO,RN,137.86,RY,0,1
198,ABB SWEDEN,EXP,52.62,VP,0,0
199,ABB CANADA,EXP,1713,VP,1,0
200,ABB BAngladesh A/C ENERGYPAC,EXP,460.51,RY,1,0
201,ABB LIMITED A/C PPHVS,IDTO,34.5,RY,1,1
202,QUALITY POWER ENGINEERING PVT LTD,RW,30.21,RY,1,1
203,Tejaswini Electrical A/C KPTCL,RS,350,KS,0,1
204,Siemens A/c Bhermara,RN,231,KS,0,0
205,Quality Power A/c Bedas & Meram,RW,25156,RP,0,1
206,ABB LTD A/C PA A/C TATA JODA,IDTO,42.5,RY,1,1
207,ABB LTD A/C PA A/C lafarge ,IDTO,8.4,RY,1,1
208,ABB LTD A/C PPHVS A/C WBSETCL,IDTO,172.15,RY,1,1
209,ABB CANADA,EXP,906.82,VP,1,0
210,ABB CANADA,EXP,322.44,VP,1,0
211,ABB CANADA,EXP,149.24,VP,1,0
212,ABB AUSTRALIA,EXP,64.92,VP,1,0
213,ABB AUSTRALIA,EXP,47.17,VP,1,0
214,ABB LTD A/C PPHVS A/C WBSETCL,IDTO,901,RY,0,1
215,Vimal Engineers and Contractors,RN,114,RY,1,0
216,Jarvis Systems,RS,56.7,RY,0,1
217,ABB LTD A/C DMMG-HV MACHINES,IDTO,632.5,RY,1,1
218,Lectronics A/c Central Railways,RE,220,VP,0,0
219,ABB BULGARIA,EXP,103.6,VP,1,1
220,INELEC ENGINEERS,RS,247,VP,1,1
221,QUALITY POWER ENGINEERING PVT LTD,RW,300,RP,1,1
222,BALAKRISHNA INDUSTRIES LIMITED,RN,462,RY,1,0
223,ALLIED STRIPS LIMITED,RN,250,RY,1,0
224,ABB INDIA LTD - PS HVDC Sys,IDTO,16000,DS,0,0
225,Qpower ,RW,600,RP,1,1
226,Highvolt Power & Control Systems Pvt Ltd,RW,317.69,KS,1,0
227,ABB INDIA LTD - PS HVDC Sys,RW,6563,DS,0,1
228,Integrated Power,RW,25,VP,1,0
229,HAZIRA LNG PVT LTD,RW,45.96,VP,1,0
230,RCF,RW,235,VP,1,0
231,RELIANCE INDUSTRIES LIMITED,RW,1908,KS,1,1
232,RELIANCE INDUSTRIES LIMITED,RW,2601,KS,1,1
233,Goa Glass Fibre,RW,60,VP,1,0
234,GAIL ,RW,69.3,VP,1,0
235,ULTRATECH CEMENT LTD,RW,541,AM,1,1
236,RAYCHEM RPG (P) LTD,RW,3790,DG,1,0
237,QUALITY POWER A/C NECCO JAISWAL,RW,10500,RP,1,1
238,QUALITY POWER ,RW,2450,VP,1,1
239,Electrotherm,RW,1260,VP,1,0
240,QUALITY POWER,RW,1880,AM,1,1
241,RAJ ENTERPRISES,RW,112.2,VP,1,1
242,HINDALCO MAHAN,RW,496,VP,1,0
243,EMCO A/C HVPNL,RW,178.75,VP,0,0
244,RCF,RW,975.09,PS,1,0
245,ELECTROTHERM,RW,400,PS,1,0
246,ELECTROSERVICES,RW,59.9,PS,1,0
247,RELIANCE INDUSTRIES LIMITED,RW,617.4,PS,1,1
248,PGCIL BHADRAVATI,RW,177.57,PS,0,0
249,THYSSENKRUPP,RW,65,PS,1,1
250,ARVEE ELECTRICALS AND ENGINEERS PVT LTD,RW,2400,PS,1,0
251,ELECTROTHERM INDIA LIMITED,RW,327,PS,1,0
252,QUALITY POWER,RW,526.17,AM,1,1
253,QUALITY POWER,RW,3600,AM,1,1
254,L&T CONSTRUCTION,RW,4882,AN,1,1
255,TOYO ENGINEERING INDIA LIMITED,RW,2425,AM,1,0
256,Qpower A/c JSPL Oman,RW,1421.34,AM,1,1
257,Inelec,RS,188.4,PS,1,1
258,ABB INDIA LIMITED A/C LT CAPACITORS A/C ARORA STEEL,IDTO,1419,AM,1,1
259,AIRLIQUIDE PVT LTD,EXW,134.39,PS,1,0
260,ISGEC ,EXW,950,AM,1,0
261,ABB SWITZERLAND,EXP,1138,AM,1,0
262,Resonance Power Systems Pvt Ltd,RW,63,PS,1,0
263,JSW Steel Limited,RS,52.44,PS,1,0
264,ALSTOM T&D INDIA LIMITED,RN,1702.4,PS,1,0
265,ABB BRAZIL,EXP,28.44,AM,1,0
266,ABB BRAZIL,EXP,3129.46,AM,1,0
267,ABB BRAZIL,EXP,1235.46,AM,1,0
268,ABB CANADA,EXP,42.15,AM,1,0
269,ABB SWEDEN,EXP,160.83,AM,1,0
270,KSEB KANNUR,RS,1364,PS,0,0
271,ULTRATECH CEMENT,RW,650,AM,1,1
272,SHREE CEMENT,RN,1206,AN,1,0
273,SHREE CEMENT,RN,469,AN,1,0
274,ABB SWEDEN,EXP,394.5,AM,1,0
275,PGCIL RIHAND,RN,610,PS,0,0
276,ABB CANADA,EXP,435.69,AM,1,0
277,ABB SWEDEN,EXP,792.15,AM,1,0
278,ABB SWEDEN,EXP,92.74,AM,1,0
279,ABB SWEDEN,EXP,394.5,AM,1,0
280,INELEC,RS,49.5,PS,1,1
281,SPECTRUM,RS,26,PS,0,0
282,INNOVATIVE,RW,336,PS,1,0
283,NIE,RS,125,PS,1,0
284,ABB SOUTH AFRICA,EXP,2953,AM,0,0
285,QUALITY POWER,RW,75,AM,1,1
286,SHREE CEMENT,RN,308,AN,1,0
287,ABB INDIA LIMITED A/C PPHVS A/C JSPL BARBIL,IDTO,46,PS,1,1
288,ABB INDIA LIMITED A/C PPHVS A/C GSFC,IDTO,983,PS,1,1
289,JSW Steel Limited,RS,2274.5,PS,1,0
290,TEJASWINI ELECTRICALS,RS,760,PS,0,1
291,NAVYUG ENTERPRISE,RN,140,PS,1,0
292,ABB SOUTH AFRICA,EXP,132,AM,1,0
293,JSW Steel Limited,RS,610,PS,1,0
294,ABB SWITZERLAND,EXP,1129,AM,1,0
